name_muni_uf_from,name_muni_uf_to,sg_iata_origem,sg_iata_destino,date,year,month,day,total_pass,dist_pair,n_flights,lon_from,lat_from,lon_to,lat_to
sao paulo-sp,maringa-pr,CGH,MGF,2020-03-04,2020,3,4,315,548.670790495924,3,-46.5703831821127,-23.5673865,-51.9398818702521,-23.42228
guarulhos-sp,joinville-sc,GRU,JOI,2020-03-05,2020,3,5,335,391.845171575353,3,-46.5310840856611,-23.468506,-48.849409143238,-26.3045176486541
guarulhos-sp,chapeco-sc,GRU,XAP,2020-03-04,2020,3,4,370,733.392073068895,5,-46.5310840856611,-23.468506,-52.6170311134138,-27.1068370215332
guarulhos-sp,joinville-sc,GRU,JOI,2020-03-04,2020,3,4,248,391.845171575353,2,-46.5310840856611,-23.468506,-48.849409143238,-26.3045176486541
sao paulo-sp,porto seguro-ba,CGH,BPS,2020-03-04,2020,3,4,184,1112.24197645069,1,-46.5703831821127,-23.5673865,-39.0621135238902,-16.4490561793642
recife-pe,sao paulo-sp,REC,CGH,2020-03-04,2020,3,4,509,2120.80240335024,5,-34.8889419445777,-8.06276248305241,-46.5703831821127,-23.5673865
sao paulo-sp,recife-pe,CGH,REC,2020-03-05,2020,3,5,761,2120.80240335024,5,-46.5703831821127,-23.5673865,-34.8889419445777,-8.06276248305241
juazeiro do norte-ce,guarulhos-sp,JDO,GRU,2020-03-04,2020,3,4,362,1957.46929839078,3,-39.3169933556143,-7.210766,-46.5310840856611,-23.468506
guarulhos-sp,juazeiro do norte-ce,GRU,JDO,2020-03-05,2020,3,5,309,1957.46929839078,2,-46.5310840856611,-23.468506,-39.3169933556143,-7.210766
belem-pa,macapa-ap,BEL,MCP,2020-03-04,2020,3,4,432,330.560425179575,3,-48.4878256874876,-1.459845,-51.0574054570359,0.03895101
curitiba-pr,foz do iguacu-pr,CWB,IGU,2020-03-05,2020,3,5,343,534.540001007988,4,-49.2718478850774,-25.432956,-54.5871024886046,-25.5424932795293
belem-pa,santarem-pa,BEL,STM,2020-03-04,2020,3,4,349,701.5533575521,5,-48.4878256874876,-1.459845,-54.7185701672711,-2.43621332999996
santarem-pa,belem-pa,STM,BEL,2020-03-05,2020,3,5,291,701.5533575521,5,-54.7185701672711,-2.43621332999996,-48.4878256874876,-1.459845
brasilia-df,sena madureira-ac,BSB,RBR,2020-03-05,2020,3,5,184,2375.59218074966,2,-47.8879054780313,-15.794087361891,-68.655684061692,-9.065339505
santarem-pa,belem-pa,STM,BEL,2020-03-04,2020,3,4,184,701.5533575521,4,-54.7185701672711,-2.43621332999996,-48.4878256874876,-1.459845
recife-pe,fernando de noronha-pe,REC,FEN,2020-03-04,2020,3,4,504,539.083116230771,5,-34.8889419445777,-8.06276248305241,-32.4351863280529,-3.85202140078181
recife-pe,rio de janeiro-rj,REC,GIG,2020-03-04,2020,3,4,1031,1866.13643566427,8,-34.8889419445777,-8.06276248305241,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,campinas-sp,GIG,VCP,2020-03-04,2020,3,4,292,393.210656059303,5,-43.2278751249952,-22.8766521181865,-47.0601562729731,-22.9073425
salvador-ba,rio de janeiro-rj,SSA,GIG,2020-03-04,2020,3,4,911,1201.14149264141,7,-38.4880614840078,-13.0147719115328,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,recife-pe,GIG,REC,2020-03-05,2020,3,5,995,1866.13643566427,8,-43.2278751249952,-22.8766521181865,-34.8889419445777,-8.06276248305241
rio de janeiro-rj,porto alegre-rs,GIG,POA,2020-03-04,2020,3,4,633,1123.91741429693,4,-43.2278751249952,-22.8766521181865,-51.2286604637023,-30.0300367747664
porto alegre-rs,rio de janeiro-rj,POA,GIG,2020-03-04,2020,3,4,349,1123.91741429693,4,-51.2286604637023,-30.0300367747664,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,curitiba-pr,GIG,CWB,2020-03-04,2020,3,4,235,676.245181192978,2,-43.2278751249952,-22.8766521181865,-49.2718478850774,-25.432956
rio de janeiro-rj,florianopolis-sc,GIG,FLN,2020-03-04,2020,3,4,466,747.911071843207,3,-43.2278751249952,-22.8766521181865,-48.5476373781933,-27.58779554855
