name_muni_uf_from,name_muni_uf_to,sg_iata_origem,sg_iata_destino,year,month,total_pass,dist_pair,n_flights,lon_from,lat_from,lon_to,lat_to,travel_time,top_plane,hourss,minutess
Brasilia-DF,Fortaleza-CE,BSB,FOR,2020,1,37800,1678.9811606948,236,-47.8879054780313,-15.794087361891,-38.5899275550432,-3.723805035,2 horas e 34 minutos,AIRBUS A321-100/200,2,34
Brasilia-DF,Fortaleza-CE,BSB,FOR,2020,2,25010,1678.9811606948,169,-47.8879054780313,-15.794087361891,-38.5899275550432,-3.723805035,2 horas e 34 minutos,AIRBUS A321-100/200,2,34
Brasilia-DF,Fortaleza-CE,BSB,FOR,2020,3,17710,1678.9811606948,131,-47.8879054780313,-15.794087361891,-38.5899275550432,-3.723805035,2 horas e 34 minutos,AIRBUS A321-100/200,2,34
Brasilia-DF,Fortaleza-CE,BSB,FOR,2020,4,505,1678.9811606948,5,-47.8879054780313,-15.794087361891,-38.5899275550432,-3.723805035,2 horas e 34 minutos,AIRBUS A321-100/200,2,34
Brasilia-DF,Fortaleza-CE,BSB,FOR,2020,5,77,1678.9811606948,1,-47.8879054780313,-15.794087361891,-38.5899275550432,-3.723805035,2 horas e 34 minutos,AIRBUS A321-100/200,2,34
Brasilia-DF,Fortaleza-CE,BSB,FOR,2020,6,1520,1678.9811606948,25,-47.8879054780313,-15.794087361891,-38.5899275550432,-3.723805035,2 horas e 34 minutos,AIRBUS A321-100/200,2,34
Brasilia-DF,Guarulhos-SP,BSB,GRU,2020,1,45181,861.379114249042,468,-47.8879054780313,-15.794087361891,-46.5310840856611,-23.468506,1 hora e 43 minutos,BOEING 737-800,1,43
Brasilia-DF,Guarulhos-SP,BSB,GRU,2020,2,35816,861.379114249042,405,-47.8879054780313,-15.794087361891,-46.5310840856611,-23.468506,1 hora e 43 minutos,BOEING 737-800,1,43
Brasilia-DF,Guarulhos-SP,BSB,GRU,2020,3,21789,861.379114249042,331,-47.8879054780313,-15.794087361891,-46.5310840856611,-23.468506,1 hora e 43 minutos,BOEING 737-800,1,43
Brasilia-DF,Guarulhos-SP,BSB,GRU,2020,4,4427,861.379114249042,113,-47.8879054780313,-15.794087361891,-46.5310840856611,-23.468506,1 hora e 43 minutos,BOEING 737-800,1,43
Brasilia-DF,Guarulhos-SP,BSB,GRU,2020,5,6360,861.379114249042,158,-47.8879054780313,-15.794087361891,-46.5310840856611,-23.468506,1 hora e 43 minutos,BOEING 737-800,1,43
Brasilia-DF,Guarulhos-SP,BSB,GRU,2020,6,6366,861.379114249042,156,-47.8879054780313,-15.794087361891,-46.5310840856611,-23.468506,1 hora e 43 minutos,BOEING 737-800,1,43
Brasilia-DF,Guarulhos-SP,BSB,GRU,2020,7,0,861.379114249042,1,-47.8879054780313,-15.794087361891,-46.5310840856611,-23.468506,1 hora e 43 minutos,BOEING 737-800,1,43
Brasilia-DF,Manaus-AM,BSB,MAO,2020,1,23614,1930.96358467425,189,-47.8879054780313,-15.794087361891,-60.023335181061,-3.13469149120195,2 horas e 52 minutos,BOEING 737-800,2,52
Brasilia-DF,Manaus-AM,BSB,MAO,2020,2,20250,1930.96358467425,171,-47.8879054780313,-15.794087361891,-60.023335181061,-3.13469149120195,2 horas e 52 minutos,BOEING 737-800,2,52
Brasilia-DF,Manaus-AM,BSB,MAO,2020,3,12884,1930.96358467425,137,-47.8879054780313,-15.794087361891,-60.023335181061,-3.13469149120195,2 horas e 52 minutos,BOEING 737-800,2,52
Brasilia-DF,Manaus-AM,BSB,MAO,2020,4,1039,1930.96358467425,30,-47.8879054780313,-15.794087361891,-60.023335181061,-3.13469149120195,2 horas e 52 minutos,BOEING 737-800,2,52
Brasilia-DF,Manaus-AM,BSB,MAO,2020,5,574,1930.96358467425,29,-47.8879054780313,-15.794087361891,-60.023335181061,-3.13469149120195,2 horas e 52 minutos,BOEING 737-800,2,52
Brasilia-DF,Manaus-AM,BSB,MAO,2020,6,1151,1930.96358467425,30,-47.8879054780313,-15.794087361891,-60.023335181061,-3.13469149120195,2 horas e 52 minutos,BOEING 737-800,2,52
Brasilia-DF,Porto Alegre-RS,BSB,POA,2020,1,25981,1613.11751494882,175,-47.8879054780313,-15.794087361891,-51.2286604637023,-30.0300367747664,2 horas e 33 minutos,AIRBUS A320-100/200,2,33
Brasilia-DF,Porto Alegre-RS,BSB,POA,2020,2,21937,1613.11751494882,143,-47.8879054780313,-15.794087361891,-51.2286604637023,-30.0300367747664,2 horas e 33 minutos,AIRBUS A320-100/200,2,33
Brasilia-DF,Porto Alegre-RS,BSB,POA,2020,3,14414,1613.11751494882,114,-47.8879054780313,-15.794087361891,-51.2286604637023,-30.0300367747664,2 horas e 33 minutos,AIRBUS A320-100/200,2,33
Brasilia-DF,Porto Alegre-RS,BSB,POA,2020,5,78,1613.11751494882,3,-47.8879054780313,-15.794087361891,-51.2286604637023,-30.0300367747664,2 horas e 33 minutos,AIRBUS A320-100/200,2,33
Brasilia-DF,Porto Alegre-RS,BSB,POA,2020,6,1288,1613.11751494882,27,-47.8879054780313,-15.794087361891,-51.2286604637023,-30.0300367747664,2 horas e 33 minutos,AIRBUS A320-100/200,2,33
Brasilia-DF,Porto Seguro-BA,BSB,BPS,2020,1,9351,946.789650830094,62,-47.8879054780313,-15.794087361891,-39.0621135238902,-16.4490561793642,1 hora e 41 minutos,BOEING 737-800,1,41
Brasilia-DF,Porto Seguro-BA,BSB,BPS,2020,2,8879,946.789650830094,58,-47.8879054780313,-15.794087361891,-39.0621135238902,-16.4490561793642,1 hora e 41 minutos,BOEING 737-800,1,41
Brasilia-DF,Porto Seguro-BA,BSB,BPS,2020,3,5474,946.789650830094,48,-47.8879054780313,-15.794087361891,-39.0621135238902,-16.4490561793642,1 hora e 41 minutos,BOEING 737-800,1,41
